time_s,ai_v,ai1_v,selected_signal_v,di,di0,di1,potentiometer,proximity,switch,limit_ok
3.2,0.0,0.046,0.0,0,0,0,0.0,0,0,True
3.3,0.0,0.043,0.0,0,0,0,0.0,0,0,True
3.4,0.0,0.044,0.0,0,0,0,0.0,0,0,True
3.5,0.0,0.044,0.0,0,0,0,0.0,0,0,True
3.6,0.0,0.044,0.0,0,0,0,0.0,0,0,True
3.7,0.0,0.044,0.0,0,0,0,0.0,0,0,True
3.8,0.0,0.043,0.0,0,0,0,0.0,0,0,True
3.9,0.0,0.042,0.0,0,0,0,0.0,0,0,True
4.0,0.0,0.043,0.0,0,0,0,0.0,0,0,True
4.1,0.282,0.049,0.282,0,0,0,0.0705,0,0,True
4.2,0.824,0.062,0.824,0,0,0,0.206,0,0,True
4.3,1.44,0.08,1.44,0,0,0,0.36,0,0,True
4.4,1.824,0.089,1.824,0,0,0,0.456,0,0,True
4.5,1.848,0.093,1.848,0,0,0,0.462,0,0,True
4.6,1.841,0.089,1.841,0,0,0,0.46025,0,0,True
4.7,1.986,0.096,1.986,0,0,0,0.4965,0,0,True
4.8,2.507,0.118,2.507,0,0,0,0.62675,0,0,True
4.9,3.3,0.145,3.3,0,0,0,0.825,0,0,True
5.0,3.3,0.151,3.3,0,0,0,0.825,0,0,True
5.1,3.3,0.154,3.3,0,0,0,0.825,0,0,True
5.2,3.3,0.151,3.3,0,0,0,0.825,0,0,True
5.3,3.3,0.152,3.3,0,0,0,0.825,0,0,True
5.4,3.3,0.154,3.3,0,0,0,0.825,0,0,True
5.5,3.102,0.136,3.102,0,0,0,0.7755,0,0,True
5.6,2.325,0.11,2.325,0,0,0,0.58125,0,0,True
5.7,1.727,0.088,1.727,0,0,0,0.43175,0,0,True
5.8,1.301,0.073,1.301,0,0,0,0.32525,0,0,True
5.9,1.103,0.068,1.103,0,0,0,0.27575,0,0,True
6.0,1.156,0.072,1.156,0,0,0,0.289,0,0,True
6.1,1.645,0.086,1.645,0,0,0,0.41125,0,0,True
6.2,2.265,0.108,2.265,0,0,0,0.56625,0,0,True
6.3,2.921,0.131,2.921,0,0,0,0.73025,0,0,True
6.4,3.3,0.152,3.3,0,0,0,0.825,0,0,True
6.5,3.3,0.152,3.3,0,0,0,0.825,0,0,True
6.6,3.232,0.141,3.232,0,0,0,0.808,0,0,True
6.7,2.534,0.115,2.534,0,0,0,0.6335,0,0,True
6.8,2.009,0.099,2.009,0,0,0,0.50225,0,0,True
6.9,1.585,0.083,1.585,0,0,0,0.39625,0,0,True
7.0,1.364,0.08,1.364,0,0,0,0.341,0,0,True
7.1,1.472,0.08,1.472,0,0,0,0.368,0,0,True
7.2,1.904,0.098,1.904,0,0,0,0.476,0,0,True
7.3,2.449,0.12,2.449,0,0,0,0.61225,0,0,True
7.4,3.081,0.138,3.081,0,0,0,0.77025,0,0,True
7.5,3.3,0.154,3.3,0,0,0,0.825,0,0,True
7.6,3.3,0.152,3.3,0,0,0,0.825,0,0,True
7.7,3.3,0.146,3.3,0,0,0,0.825,0,0,True
7.8,2.729,0.126,2.729,0,0,0,0.68225,0,0,True
7.9,2.125,0.102,2.125,0,0,0,0.53125,0,0,True
8.0,1.538,0.085,1.538,0,0,0,0.3845,0,0,True
8.1,1.203,0.073,1.203,0,0,0,0.30075,0,0,True
