time_s,ai_v,ai1_v,di,di0,di1,potentiometer,proximity,switch,limit_ok
4.0,0.866,1.53,0,0,0,0.3464,0,0,True
4.1,0.868,1.53,0,0,0,0.3472,0,0,True
4.2,0.868,1.529,0,0,0,0.3472,0,0,True
4.3,0.87,1.527,0,0,0,0.348,0,0,True
4.4,0.866,1.53,0,0,0,0.3464,0,0,True
4.5,0.871,1.53,0,0,0,0.3484,0,0,True
4.6,0.926,1.527,0,0,0,0.3704,0,0,True
4.7,1.424,1.529,0,0,0,0.5696,0,0,True
4.8,1.944,1.53,0,0,0,0.7776,0,0,True
4.9,2.372,1.529,0,0,0,0.9488,0,0,True
5.0,2.621,1.529,0,0,0,1.0,0,0,False
5.1,2.963,1.53,0,0,0,1.0,0,0,False
5.2,3.047,1.53,0,0,0,1.0,0,0,False
5.3,3.042,1.53,0,0,0,1.0,0,0,False
5.4,3.28,1.532,0,0,0,1.0,0,0,False
5.5,3.3,1.53,0,0,0,1.0,0,0,False
5.6,3.3,1.53,0,0,0,1.0,0,0,False
5.7,3.3,1.529,0,0,0,1.0,0,0,False
5.8,3.181,1.505,0,0,0,1.0,0,0,False
5.9,2.209,1.53,0,0,0,0.8836,0,0,True
6.0,1.626,1.53,0,0,0,0.6504,0,0,True
6.1,1.3,1.529,0,0,0,0.52,0,0,True
6.2,1.171,1.527,0,0,0,0.46840000000000004,0,0,True
6.3,1.121,1.529,0,0,0,0.4484,0,0,True
6.4,1.119,1.529,0,0,0,0.4476,0,0,True
6.5,1.078,1.53,0,0,0,0.4312,0,0,True
6.6,0.59,1.528,0,0,0,0.236,0,0,True
6.7,0.127,1.529,0,0,0,0.0508,0,0,True
6.8,0.0,1.528,0,0,0,0.0,0,0,True
6.9,0.0,1.529,0,0,0,0.0,0,0,True
7.0,0.0,1.53,0,0,0,0.0,0,0,True
7.1,0.0,1.528,0,0,0,0.0,0,0,True
7.2,0.0,1.529,0,0,0,0.0,0,0,True
7.3,0.0,1.529,0,0,0,0.0,0,0,True
7.4,0.0,1.529,0,0,0,0.0,0,0,True
7.5,0.0,1.53,0,0,0,0.0,0,0,True
7.6,0.0,1.529,0,0,0,0.0,0,0,True
7.7,0.0,1.527,0,0,0,0.0,0,0,True
7.8,0.102,1.525,0,0,0,0.040799999999999996,0,0,True
7.9,0.666,1.53,0,0,0,0.2664,0,0,True
8.0,1.092,1.529,0,0,0,0.4368,0,0,True
8.1,1.311,1.528,0,0,0,0.5244,0,0,True
8.2,1.301,1.528,0,0,0,0.5204,0,0,True
8.3,1.314,1.529,0,0,0,0.5256000000000001,0,0,True
8.4,1.455,1.527,0,0,0,0.5820000000000001,0,0,True
8.5,1.782,1.529,0,0,0,0.7128,0,0,True
8.6,2.185,1.53,0,0,0,0.874,0,0,True
8.7,2.505,1.529,0,0,0,1.0,0,0,False
8.8,2.61,1.53,0,0,0,1.0,0,0,False
